"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054F,37193,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054B,37189,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054E,37192,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054C,37190,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054D,37191,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,51.99,114.08,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005E,39076,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M079 (Globalstar 79, Globalstar 2-1)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054A,37188,2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080B,38041,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M081 (Globalstar 81, Globalstar 2-11)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033E,37743,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080C,38042,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M083 (Globalstar 83, Globalstar 2-7)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033A,37739,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M084 (Globalstar 84, Globalstar 2-13)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080A,38040,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M085 (Globalstar 85, Globalstar 2-10)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033D,37742,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080F,38045,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033B,37740,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,51.99,118.2,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033F,37744,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15  yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080E,38044,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033C,37741,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080D,38043,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,51.98,113.35,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005B,39073,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,51.99,103.44,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005C,39074,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,51.98,114.08,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005F,39077,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52.01,103.48,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005D,39075,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",France,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1370,1391,1.35E-03,52.01,113.96,700,,1700,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005A,39072,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 701 (Glonass-K, Cosmos 2471)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19116,19146,5.88E-04,64.77,675.78,935,,1700,10 yrs.,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-009A,37372,2011-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 702 (Glonass K, Cosmos 2501)",NR (1/15),Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19103,19178,1.47E-03,64.83,676.15,935,,1700,10 yrs.,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2-1b,2014-075A,40315,2014-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glonass 714 (Cosmos 2419),Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19118,19125,1.37E-04,64.8,675.39,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2005-050A,28915,2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 715 (Glonass 35-1, Cosmos 2424)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19130,19130,0E+00,64.8,675.75,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2006-062C,29672,2006-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19130,19130,0E+00,64.8,675.75,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2006-062A,29670,2006-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19130,19130,0E+00,64.8,675.75,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2006-062B,29671,2006-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19094,19171,1.51E-03,64.9,675.83,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2007-052B,32276,2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19124,19133,1.76E-04,64.9,675.67,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2007-052A,32275,2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 721 (Glonass 37-1, Cosmos 2434)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19142,19378,4.6E-03,64.66,680.91,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2007-065A,32393,2007-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19147,19365,4.25E-03,64.67,680.75,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2007-065C,32395,2007-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 725 (Glonass 38-2, Cosmos 2443)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19134,19145,2.16E-04,64.79,676.1,1480,,1600,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-046B,33379,2008-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19132,19419,5.6E-03,64.81,681.53,1415,,1000,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2009-070A,36111,2009-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19119,19146,5.29E-04,64.76,675.85,1415,,1000,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-007A,36400,2010-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19131,19133,3.92E-05,64.77,675.81,1415,,1000,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-007C,36402,2010-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,18864,19130,5.24E-03,64.78,670.47,1415,,1000,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2009-070B,36112,2009-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 734 (Glonass 41-3, Cosmos 2458)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19098,19129,6.08E-04,64.8,675.08,1415,,1000,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2009-070C,36113,2009-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,MEO,,0,19128,19135,1.37E-04,64.77,675.81,1415,,1000,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-007B,36401,2010-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
